lag,match_type,lehrkraft_id,gruppe_id,teilnehmer_id,teacher_date,participant_time,teacher_dominante_dimension,participant_dominante_dimension,dominanz_match,teacher_dominante_dimension_wert,participant_dominante_dimension_wert,teacher_polaritaet_gesamt,participant_polaritaet_gesamt,polaritaet_match
0,same_or_following_session,12,0,12,2025-09-01,2025-10-23T15:31:28,kognition,methodik,0,0.48119322262245595,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-01,2025-11-06T15:34:11,kognition,methodik,0,0.48119322262245595,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-01,2025-11-06T15:34:29,kognition,sozial,0,0.48119322262245595,0.70952380952381,1,1,1
0,same_or_following_session,1,0,12,2025-09-08,2025-10-23T15:31:28,kognition,methodik,0,0.53755054528027,1.0,1,1,1
1,same_or_following_session,1,0,12,2025-09-08,2025-11-06T15:34:11,kognition,methodik,0,0.53755054528027,1.0,1,1,1
2,same_or_following_session,1,0,12,2025-09-08,2025-11-06T15:34:29,kognition,sozial,0,0.53755054528027,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-15,2025-10-23T15:31:28,kognition,methodik,0,0.292847000948378,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-15,2025-11-06T15:34:11,kognition,methodik,0,0.292847000948378,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-15,2025-11-06T15:34:29,kognition,sozial,0,0.292847000948378,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-22,2025-10-23T15:31:28,kognition,methodik,0,0.5136079078108124,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-22,2025-11-06T15:34:11,kognition,methodik,0,0.5136079078108124,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-22,2025-11-06T15:34:29,kognition,sozial,0,0.5136079078108124,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-29,2025-10-23T15:31:28,performanz,methodik,0,0.540512310600422,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-29,2025-11-06T15:34:11,performanz,methodik,0,0.540512310600422,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-29,2025-11-06T15:34:29,performanz,sozial,0,0.540512310600422,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-10-27,2025-11-06T15:34:11,kognition,methodik,0,0.40878028142398,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-10-27,2025-11-06T15:34:29,kognition,sozial,0,0.40878028142398,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-11-03,2025-11-06T15:34:11,kognition,methodik,0,0.5094034402443683,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-11-03,2025-11-06T15:34:29,kognition,sozial,0,0.5094034402443683,0.70952380952381,1,1,1
0,same_or_following_session,1,0,13,2025-09-22,2025-10-23T15:31:28,kognition,methodik,0,0.602491027255856,1.0,1,1,1
1,same_or_following_session,1,0,13,2025-09-22,2025-11-06T15:34:11,kognition,methodik,0,0.602491027255856,1.0,1,1,1
2,same_or_following_session,1,0,13,2025-09-22,2025-11-06T15:34:29,kognition,sozial,0,0.602491027255856,0.70952380952381,1,1,1
0,same_or_following_session,1,0,15,2025-11-05,2025-11-06T15:34:29,kognition,sozial,0,0.48972564958730747,0.70952380952381,1,1,1
0,same_or_following_session,22,0,17,2025-09-01,2025-10-23T15:31:28,kognition,methodik,0,0.307282715796692,1.0,1,1,1
1,same_or_following_session,22,0,17,2025-09-01,2025-11-06T15:34:11,kognition,methodik,0,0.307282715796692,1.0,1,1,1
2,same_or_following_session,22,0,17,2025-09-01,2025-11-06T15:34:29,kognition,sozial,0,0.307282715796692,0.70952380952381,1,1,1
0,same_or_following_session,22,0,17,2025-09-15,2025-10-23T15:31:28,kognition,methodik,0,0.5735306647365059,1.0,1,1,1
1,same_or_following_session,22,0,17,2025-09-15,2025-11-06T15:34:11,kognition,methodik,0,0.5735306647365059,1.0,1,1,1
2,same_or_following_session,22,0,17,2025-09-15,2025-11-06T15:34:29,kognition,sozial,0,0.5735306647365059,0.70952380952381,1,1,1
0,same_or_following_session,24,0,17,2025-10-20,2025-10-23T15:31:28,kognition,methodik,0,0.5770832637865401,1.0,1,1,1
1,same_or_following_session,24,0,17,2025-10-20,2025-11-06T15:34:11,kognition,methodik,0,0.5770832637865401,1.0,1,1,1
2,same_or_following_session,24,0,17,2025-10-20,2025-11-06T15:34:29,kognition,sozial,0,0.5770832637865401,0.70952380952381,1,1,1
0,same_or_following_session,12,0,17,2025-10-27,2025-11-06T15:34:11,regulation,methodik,0,0.3537859342651934,1.0,1,1,1
1,same_or_following_session,12,0,17,2025-10-27,2025-11-06T15:34:29,regulation,sozial,0,0.3537859342651934,0.70952380952381,1,1,1
0,same_or_following_session,21,0,17,2025-11-03,2025-11-06T15:34:11,performanz,methodik,0,0.482038207089358,1.0,1,1,1
1,same_or_following_session,21,0,17,2025-11-03,2025-11-06T15:34:29,performanz,sozial,0,0.482038207089358,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-03,2025-10-23T15:31:28,performanz,methodik,0,0.49286760721452505,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-03,2025-11-06T15:34:11,performanz,methodik,0,0.49286760721452505,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-03,2025-11-06T15:34:29,performanz,sozial,0,0.49286760721452505,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-10,2025-10-23T15:31:28,kognition,methodik,0,0.5419861361768925,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-10,2025-11-06T15:34:11,kognition,methodik,0,0.5419861361768925,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-10,2025-11-06T15:34:29,kognition,sozial,0,0.5419861361768925,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-17,2025-10-23T15:31:28,kognition,methodik,0,0.25796472575018503,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-17,2025-11-06T15:34:11,kognition,methodik,0,0.25796472575018503,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-17,2025-11-06T15:34:29,kognition,sozial,0,0.25796472575018503,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-24,2025-10-23T15:31:28,regulation,methodik,0,0.4406776795803975,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-24,2025-11-06T15:34:11,regulation,methodik,0,0.4406776795803975,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-24,2025-11-06T15:34:29,regulation,sozial,0,0.4406776795803975,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-10-01,2025-10-23T15:31:28,kognition,methodik,0,0.5133658295859725,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-10-01,2025-11-06T15:34:11,kognition,methodik,0,0.5133658295859725,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-10-01,2025-11-06T15:34:29,kognition,sozial,0,0.5133658295859725,0.70952380952381,1,1,1
0,same_or_following_session,1,0,18,2025-10-22,2025-10-23T15:31:28,kognition,methodik,0,0.47933370691151406,1.0,1,1,1
1,same_or_following_session,1,0,18,2025-10-22,2025-11-06T15:34:11,kognition,methodik,0,0.47933370691151406,1.0,1,1,1
2,same_or_following_session,1,0,18,2025-10-22,2025-11-06T15:34:29,kognition,sozial,0,0.47933370691151406,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-10-29,2025-11-06T15:34:11,kognition,methodik,0,0.48227651679458,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-10-29,2025-11-06T15:34:29,kognition,sozial,0,0.48227651679458,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-11-05,2025-11-06T15:34:11,regulation,methodik,0,0.460053562025474,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-11-05,2025-11-06T15:34:29,regulation,sozial,0,0.460053562025474,0.70952380952381,1,1,1
0,same_or_following_session,1,0,2,2025-10-23,2025-10-23T15:31:28,kognition,methodik,0,0.4752243940523675,1.0,1,1,1
1,same_or_following_session,1,0,2,2025-10-23,2025-11-06T15:34:11,kognition,methodik,0,0.4752243940523675,1.0,1,1,1
2,same_or_following_session,1,0,2,2025-10-23,2025-11-06T15:34:29,kognition,sozial,0,0.4752243940523675,0.70952380952381,1,1,1
0,same_or_following_session,19,0,4,2025-09-16,2025-10-23T15:31:28,kognition,methodik,0,0.49033699465167996,1.0,1,1,1
1,same_or_following_session,19,0,4,2025-09-16,2025-11-06T15:34:11,kognition,methodik,0,0.49033699465167996,1.0,1,1,1
2,same_or_following_session,19,0,4,2025-09-16,2025-11-06T15:34:29,kognition,sozial,0,0.49033699465167996,0.70952380952381,1,1,1
0,same_or_following_session,1,0,4,2025-10-23,2025-10-23T15:31:28,kognition,methodik,0,0.49424489620138995,1.0,1,1,1
1,same_or_following_session,1,0,4,2025-10-23,2025-11-06T15:34:11,kognition,methodik,0,0.49424489620138995,1.0,1,1,1
2,same_or_following_session,1,0,4,2025-10-23,2025-11-06T15:34:29,kognition,sozial,0,0.49424489620138995,0.70952380952381,1,1,1
0,same_or_following_session,1,0,4,2025-10-27,2025-11-06T15:34:11,performanz,methodik,0,0.4599066415387325,1.0,1,1,1
1,same_or_following_session,1,0,4,2025-10-27,2025-11-06T15:34:29,performanz,sozial,0,0.4599066415387325,0.70952380952381,1,1,1
0,same_or_following_session,30,0,40,2025-11-04,2025-11-06T15:34:11,kognition,methodik,0,0.4863714284398533,1.0,1,1,1
1,same_or_following_session,30,0,40,2025-11-04,2025-11-06T15:34:29,kognition,sozial,0,0.4863714284398533,0.70952380952381,1,1,1
0,same_or_following_session,18,0,47,2025-10-30,2025-11-06T15:34:11,kognition,methodik,0,0.531010139603668,1.0,1,1,1
1,same_or_following_session,18,0,47,2025-10-30,2025-11-06T15:34:29,kognition,sozial,0,0.531010139603668,0.70952380952381,1,1,1
0,same_or_following_session,21,0,47,2025-11-03,2025-11-06T15:34:11,kognition,methodik,0,0.32720146269462397,1.0,1,1,1
1,same_or_following_session,21,0,47,2025-11-03,2025-11-06T15:34:29,kognition,sozial,0,0.32720146269462397,0.70952380952381,1,1,1
0,same_or_following_session,1,0,6,2025-09-02,2025-10-23T15:31:28,kognition,methodik,0,0.5198702902734634,1.0,1,1,1
1,same_or_following_session,1,0,6,2025-09-02,2025-11-06T15:34:11,kognition,methodik,0,0.5198702902734634,1.0,1,1,1
2,same_or_following_session,1,0,6,2025-09-02,2025-11-06T15:34:29,kognition,sozial,0,0.5198702902734634,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-09-30,2025-10-23T15:31:28,regulation,methodik,0,0.3536284694136234,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-09-30,2025-11-06T15:34:11,regulation,methodik,0,0.3536284694136234,1.0,1,1,1
2,same_or_following_session,19,0,6,2025-09-30,2025-11-06T15:34:29,regulation,sozial,0,0.3536284694136234,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-10-28,2025-11-06T15:34:11,kognition,methodik,0,0.501714625430158,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-10-28,2025-11-06T15:34:29,kognition,sozial,0,0.501714625430158,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-11-04,2025-11-06T15:34:11,kognition,methodik,0,0.5837887266188125,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-11-04,2025-11-06T15:34:29,kognition,sozial,0,0.5837887266188125,0.70952380952381,1,1,1
0,same_or_following_session,1,0,8,2025-09-04,2025-10-23T15:31:28,kognition,methodik,0,0.493146291138272,1.0,1,1,1
1,same_or_following_session,1,0,8,2025-09-04,2025-11-06T15:34:11,kognition,methodik,0,0.493146291138272,1.0,1,1,1
2,same_or_following_session,1,0,8,2025-09-04,2025-11-06T15:34:29,kognition,sozial,0,0.493146291138272,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-09-11,2025-10-23T15:31:28,kognition,methodik,0,0.511885499235222,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-09-11,2025-11-06T15:34:11,kognition,methodik,0,0.511885499235222,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-09-11,2025-11-06T15:34:29,kognition,sozial,0,0.511885499235222,0.70952380952381,1,1,1
0,same_or_following_session,20,0,8,2025-09-18,2025-10-23T15:31:28,performanz,methodik,0,0.45318028662877996,1.0,1,1,1
1,same_or_following_session,20,0,8,2025-09-18,2025-11-06T15:34:11,performanz,methodik,0,0.45318028662877996,1.0,1,1,1
2,same_or_following_session,20,0,8,2025-09-18,2025-11-06T15:34:29,performanz,sozial,0,0.45318028662877996,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-09-25,2025-10-23T15:31:28,kognition,methodik,0,0.352891143057652,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-09-25,2025-11-06T15:34:11,kognition,methodik,0,0.352891143057652,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-09-25,2025-11-06T15:34:29,kognition,sozial,0,0.352891143057652,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-02,2025-10-23T15:31:28,kognition,methodik,0,0.5181510385243366,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-02,2025-11-06T15:34:11,kognition,methodik,0,0.5181510385243366,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-10-02,2025-11-06T15:34:29,kognition,sozial,0,0.5181510385243366,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-09,2025-10-23T15:31:28,performanz,methodik,0,0.509702528899775,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-09,2025-11-06T15:34:11,performanz,methodik,0,0.509702528899775,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-10-09,2025-11-06T15:34:29,performanz,sozial,0,0.509702528899775,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-23,2025-10-23T15:31:28,performanz,methodik,0,0.49496881975663665,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-23,2025-11-06T15:34:11,performanz,methodik,0,0.49496881975663665,1.0,1,1,1
