lag,match_type,lehrkraft_id,gruppe_id,teilnehmer_id,teacher_date,participant_time,teacher_dominante_dimension,participant_dominante_dimension,dominanz_match,teacher_dominante_dimension_wert,participant_dominante_dimension_wert,teacher_polaritaet_gesamt,participant_polaritaet_gesamt,polaritaet_match
0,same_or_following_session,12,0,12,2025-09-01,2025-10-23T15:31:28,kognition,methodik,0,0.48119322262245595,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-01,2025-11-06T15:34:11,kognition,methodik,0,0.48119322262245595,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-01,2025-11-06T15:34:29,kognition,sozial,0,0.48119322262245595,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-15,2025-10-23T15:31:28,kognition,methodik,0,0.292847000948378,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-15,2025-11-06T15:34:11,kognition,methodik,0,0.292847000948378,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-15,2025-11-06T15:34:29,kognition,sozial,0,0.292847000948378,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-22,2025-10-23T15:31:28,kognition,methodik,0,0.5136079078108124,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-22,2025-11-06T15:34:11,kognition,methodik,0,0.5136079078108124,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-22,2025-11-06T15:34:29,kognition,sozial,0,0.5136079078108124,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-09-29,2025-10-23T15:31:28,performanz,methodik,0,0.540512310600422,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-09-29,2025-11-06T15:34:11,performanz,methodik,0,0.540512310600422,1.0,1,1,1
2,same_or_following_session,12,0,12,2025-09-29,2025-11-06T15:34:29,performanz,sozial,0,0.540512310600422,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-10-27,2025-11-06T15:34:11,kognition,methodik,0,0.40878028142398,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-10-27,2025-11-06T15:34:29,kognition,sozial,0,0.40878028142398,0.70952380952381,1,1,1
0,same_or_following_session,12,0,12,2025-11-03,2025-11-06T15:34:11,kognition,methodik,0,0.5094034402443683,1.0,1,1,1
1,same_or_following_session,12,0,12,2025-11-03,2025-11-06T15:34:29,kognition,sozial,0,0.5094034402443683,0.70952380952381,1,1,1
0,same_or_following_session,22,0,17,2025-09-01,2025-10-23T15:31:28,kognition,methodik,0,0.307282715796692,1.0,1,1,1
1,same_or_following_session,22,0,17,2025-09-01,2025-11-06T15:34:11,kognition,methodik,0,0.307282715796692,1.0,1,1,1
2,same_or_following_session,22,0,17,2025-09-01,2025-11-06T15:34:29,kognition,sozial,0,0.307282715796692,0.70952380952381,1,1,1
0,same_or_following_session,22,0,17,2025-09-15,2025-10-23T15:31:28,kognition,methodik,0,0.5735306647365059,1.0,1,1,1
1,same_or_following_session,22,0,17,2025-09-15,2025-11-06T15:34:11,kognition,methodik,0,0.5735306647365059,1.0,1,1,1
2,same_or_following_session,22,0,17,2025-09-15,2025-11-06T15:34:29,kognition,sozial,0,0.5735306647365059,0.70952380952381,1,1,1
0,same_or_following_session,24,0,17,2025-10-20,2025-10-23T15:31:28,kognition,methodik,0,0.5770832637865401,1.0,1,1,1
1,same_or_following_session,24,0,17,2025-10-20,2025-11-06T15:34:11,kognition,methodik,0,0.5770832637865401,1.0,1,1,1
2,same_or_following_session,24,0,17,2025-10-20,2025-11-06T15:34:29,kognition,sozial,0,0.5770832637865401,0.70952380952381,1,1,1
0,same_or_following_session,12,0,17,2025-10-27,2025-11-06T15:34:11,regulation,methodik,0,0.3537859342651934,1.0,1,1,1
1,same_or_following_session,12,0,17,2025-10-27,2025-11-06T15:34:29,regulation,sozial,0,0.3537859342651934,0.70952380952381,1,1,1
0,same_or_following_session,21,0,17,2025-11-03,2025-11-06T15:34:11,performanz,methodik,0,0.482038207089358,1.0,1,1,1
1,same_or_following_session,21,0,17,2025-11-03,2025-11-06T15:34:29,performanz,sozial,0,0.482038207089358,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-03,2025-10-23T15:31:28,performanz,methodik,0,0.49286760721452505,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-03,2025-11-06T15:34:11,performanz,methodik,0,0.49286760721452505,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-03,2025-11-06T15:34:29,performanz,sozial,0,0.49286760721452505,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-10,2025-10-23T15:31:28,kognition,methodik,0,0.5419861361768925,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-10,2025-11-06T15:34:11,kognition,methodik,0,0.5419861361768925,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-10,2025-11-06T15:34:29,kognition,sozial,0,0.5419861361768925,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-17,2025-10-23T15:31:28,kognition,methodik,0,0.25796472575018503,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-17,2025-11-06T15:34:11,kognition,methodik,0,0.25796472575018503,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-17,2025-11-06T15:34:29,kognition,sozial,0,0.25796472575018503,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-09-24,2025-10-23T15:31:28,regulation,methodik,0,0.4406776795803975,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-09-24,2025-11-06T15:34:11,regulation,methodik,0,0.4406776795803975,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-09-24,2025-11-06T15:34:29,regulation,sozial,0,0.4406776795803975,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-10-01,2025-10-23T15:31:28,kognition,methodik,0,0.5133658295859725,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-10-01,2025-11-06T15:34:11,kognition,methodik,0,0.5133658295859725,1.0,1,1,1
2,same_or_following_session,19,0,18,2025-10-01,2025-11-06T15:34:29,kognition,sozial,0,0.5133658295859725,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-10-29,2025-11-06T15:34:11,kognition,methodik,0,0.48227651679458,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-10-29,2025-11-06T15:34:29,kognition,sozial,0,0.48227651679458,0.70952380952381,1,1,1
0,same_or_following_session,19,0,18,2025-11-05,2025-11-06T15:34:11,regulation,methodik,0,0.460053562025474,1.0,1,1,1
1,same_or_following_session,19,0,18,2025-11-05,2025-11-06T15:34:29,regulation,sozial,0,0.460053562025474,0.70952380952381,1,1,1
0,same_or_following_session,19,0,4,2025-09-16,2025-10-23T15:31:28,kognition,methodik,0,0.49033699465167996,1.0,1,1,1
1,same_or_following_session,19,0,4,2025-09-16,2025-11-06T15:34:11,kognition,methodik,0,0.49033699465167996,1.0,1,1,1
2,same_or_following_session,19,0,4,2025-09-16,2025-11-06T15:34:29,kognition,sozial,0,0.49033699465167996,0.70952380952381,1,1,1
0,same_or_following_session,30,0,40,2025-11-04,2025-11-06T15:34:11,kognition,methodik,0,0.4863714284398533,1.0,1,1,1
1,same_or_following_session,30,0,40,2025-11-04,2025-11-06T15:34:29,kognition,sozial,0,0.4863714284398533,0.70952380952381,1,1,1
0,same_or_following_session,18,0,47,2025-10-30,2025-11-06T15:34:11,kognition,methodik,0,0.531010139603668,1.0,1,1,1
1,same_or_following_session,18,0,47,2025-10-30,2025-11-06T15:34:29,kognition,sozial,0,0.531010139603668,0.70952380952381,1,1,1
0,same_or_following_session,21,0,47,2025-11-03,2025-11-06T15:34:11,kognition,methodik,0,0.32720146269462397,1.0,1,1,1
1,same_or_following_session,21,0,47,2025-11-03,2025-11-06T15:34:29,kognition,sozial,0,0.32720146269462397,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-09-30,2025-10-23T15:31:28,regulation,methodik,0,0.3536284694136234,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-09-30,2025-11-06T15:34:11,regulation,methodik,0,0.3536284694136234,1.0,1,1,1
2,same_or_following_session,19,0,6,2025-09-30,2025-11-06T15:34:29,regulation,sozial,0,0.3536284694136234,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-10-28,2025-11-06T15:34:11,kognition,methodik,0,0.501714625430158,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-10-28,2025-11-06T15:34:29,kognition,sozial,0,0.501714625430158,0.70952380952381,1,1,1
0,same_or_following_session,19,0,6,2025-11-04,2025-11-06T15:34:11,kognition,methodik,0,0.5837887266188125,1.0,1,1,1
1,same_or_following_session,19,0,6,2025-11-04,2025-11-06T15:34:29,kognition,sozial,0,0.5837887266188125,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-09-11,2025-10-23T15:31:28,kognition,methodik,0,0.511885499235222,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-09-11,2025-11-06T15:34:11,kognition,methodik,0,0.511885499235222,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-09-11,2025-11-06T15:34:29,kognition,sozial,0,0.511885499235222,0.70952380952381,1,1,1
0,same_or_following_session,20,0,8,2025-09-18,2025-10-23T15:31:28,performanz,methodik,0,0.45318028662877996,1.0,1,1,1
1,same_or_following_session,20,0,8,2025-09-18,2025-11-06T15:34:11,performanz,methodik,0,0.45318028662877996,1.0,1,1,1
2,same_or_following_session,20,0,8,2025-09-18,2025-11-06T15:34:29,performanz,sozial,0,0.45318028662877996,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-09-25,2025-10-23T15:31:28,kognition,methodik,0,0.352891143057652,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-09-25,2025-11-06T15:34:11,kognition,methodik,0,0.352891143057652,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-09-25,2025-11-06T15:34:29,kognition,sozial,0,0.352891143057652,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-02,2025-10-23T15:31:28,kognition,methodik,0,0.5181510385243366,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-02,2025-11-06T15:34:11,kognition,methodik,0,0.5181510385243366,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-10-02,2025-11-06T15:34:29,kognition,sozial,0,0.5181510385243366,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-09,2025-10-23T15:31:28,performanz,methodik,0,0.509702528899775,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-09,2025-11-06T15:34:11,performanz,methodik,0,0.509702528899775,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-10-09,2025-11-06T15:34:29,performanz,sozial,0,0.509702528899775,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-23,2025-10-23T15:31:28,performanz,methodik,0,0.49496881975663665,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-23,2025-11-06T15:34:11,performanz,methodik,0,0.49496881975663665,1.0,1,1,1
2,same_or_following_session,18,0,8,2025-10-23,2025-11-06T15:34:29,performanz,sozial,0,0.49496881975663665,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-10-30,2025-11-06T15:34:11,kognition,methodik,0,0.6005605737316734,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-10-30,2025-11-06T15:34:29,kognition,sozial,0,0.6005605737316734,0.70952380952381,1,1,1
0,same_or_following_session,18,0,8,2025-11-06,2025-11-06T15:34:11,kognition,methodik,0,0.5444136699518867,1.0,1,1,1
1,same_or_following_session,18,0,8,2025-11-06,2025-11-06T15:34:29,kognition,sozial,0,0.5444136699518867,0.70952380952381,1,1,1
0,same_or_following_session,23,1,16,2026-01-13,2026-01-19T15:35:00,performanz,sozial,0,0.507115387365345,0.69473684210526,1,1,1
1,same_or_following_session,23,1,16,2026-01-13,2026-01-19T15:35:00,performanz,sozial,0,0.507115387365345,0.96521739130435,1,1,1
2,same_or_following_session,23,1,16,2026-01-13,2026-02-02T15:35:00,performanz,affektiv,0,0.507115387365345,0.75962162162162,1,1,1
3,same_or_following_session,23,1,16,2026-01-13,2026-02-02T15:35:00,performanz,methodik,0,0.507115387365345,0.82105263157895,1,1,1
0,same_or_following_session,23,1,16,2026-01-20,2026-02-02T15:35:00,kognition,affektiv,0,0.80142126806034,0.75962162162162,1,1,1
1,same_or_following_session,23,1,16,2026-01-20,2026-02-02T15:35:00,kognition,methodik,0,0.80142126806034,0.82105263157895,1,1,1
2,same_or_following_session,23,1,16,2026-01-20,2026-02-02T15:35:00,kognition,methodik,0,0.80142126806034,0.67368421052632,1,1,1
0,same_or_following_session,12,1,2,2025-10-13,2025-10-20T15:35:00,performanz,kognition,0,0.5168498146454134,0.88936170212766,1,1,1
1,same_or_following_session,12,1,2,2025-10-13,2025-11-03T15:35:00,performanz,sozial,0,0.5168498146454134,0.80190476190476,1,1,1
2,same_or_following_session,12,1,2,2025-10-13,2025-11-10T15:35:00,performanz,sozial,0,0.5168498146454134,0.8,1,1,1
3,same_or_following_session,12,1,2,2025-10-13,2025-11-17T15:35:00,performanz,methodik,0,0.5168498146454134,0.71578947368421,1,1,1
0,same_or_following_session,19,1,3,2026-01-06,2026-01-12T15:35:00,kognition,methodik,0,0.535528727002618,0.92631578947368,1,1,1
1,same_or_following_session,19,1,3,2026-01-06,2026-01-19T15:35:00,kognition,sozial,0,0.535528727002618,0.69473684210526,1,1,1
2,same_or_following_session,19,1,3,2026-01-06,2026-01-19T15:35:00,kognition,sozial,0,0.535528727002618,0.96521739130435,1,1,1
3,same_or_following_session,19,1,3,2026-01-06,2026-02-02T15:35:00,kognition,affektiv,0,0.535528727002618,0.75962162162162,1,1,1
0,same_or_following_session,19,1,3,2026-01-13,2026-01-19T15:35:00,kognition,sozial,0,0.45096103050008,0.69473684210526,1,1,1
1,same_or_following_session,19,1,3,2026-01-13,2026-01-19T15:35:00,kognition,sozial,0,0.45096103050008,0.96521739130435,1,1,1
2,same_or_following_session,19,1,3,2026-01-13,2026-02-02T15:35:00,kognition,affektiv,0,0.45096103050008,0.75962162162162,1,1,1
