gruppe_id,n,mean_distance_lk1,mean_distance_other,mean_delta_distance,mean_dynamik,mean_stabilitaet,profile_binding,risk_counts
1,12,2.1287233640428314,2.115434537254288,-0.013288826788543373,0.2604146666666666,0.9587884999999999,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 10, ""mittel"": 2}"
2,10,2.167485532042536,2.156475044575134,-0.011010487467401298,0.15763933000000002,0.9157131,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 9, ""mittel"": 1}"
3,7,1.8503501926614863,1.8301461366055531,-0.02020405605593315,0.33571290000000004,0.9468252857142856,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 6, ""mittel"": 1}"
4,11,2.6061891134880275,2.581462336372815,-0.024726777115213074,0.32702113636363633,0.948062090909091,profilrobust / geringe Distanzdifferenz,"{""mittel"": 6, ""niedrig"": 4, ""hoch"": 1}"
5,11,2.2428265089324073,2.266672465560201,0.023845956627793683,0.2699497345454546,0.9568394545454545,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 8, ""mittel"": 2, ""hoch"": 1}"
6,10,2.055613873611782,2.072991257214162,0.017377383602379635,0.29277753000000006,0.9464289000000001,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 7, ""mittel"": 3}"
7,11,1.9881270901012378,1.9768716938447524,-0.01125539625648576,0.36178419909090903,0.9010548181818181,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 8, ""mittel"": 3}"
8,12,2.3009416237605658,2.3014070233591113,0.000465399598545857,0.227962425,0.9092120833333331,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 6, ""mittel"": 6}"
9,9,2.487199701008316,2.4877201088214047,0.0005204078130881898,0.12296323333333332,0.968097,profilrobust / geringe Distanzdifferenz,"{""niedrig"": 9}"
10,1,1.2282742718133743,1.23280387183267,0.004529600019295588,0.0,0.0,profilrobust / geringe Distanzdifferenz,"{""mittel"": 1}"
