gruppe_id,n,kosinus_mittel,kosinus_median,kosinus_min,kosinus_max,distanz_mittel
0,3,0.9279476221777045,0.941500806519018,0.8741646313040125,0.9681774287100833,1.4219319480297854
1,20,0.950256394120364,0.9630139798861466,0.8722476631631627,0.9906756270879892,1.2034833828272045
2,45,0.9271736485907357,0.9567785412722418,-0.268222067692908,0.9941185933738796,1.2736100934821681
3,6,0.9462718618018585,0.9717242497004772,0.8386921637547585,0.991852654806747,1.491372487834594
4,34,0.9297014333096376,0.9504001083513692,0.5528585549638958,0.9835384910083083,0.9888352922052398
5,34,0.9554364443020735,0.9594060844418749,0.8442370797106975,0.9973895909319291,1.2012200330960148
6,38,0.9432624198505154,0.951120874136095,0.8445034056354834,0.9963438072955452,1.282347933383307
7,31,0.9453473817470059,0.9602168117222252,0.7770259967129849,0.9960148425933556,1.2984672173691825
8,40,0.9563262005581956,0.9639339817964824,0.8846616340561199,0.9928799991211837,1.112825959902916
9,28,0.9472279751119023,0.9522959894476573,0.8052133999153042,0.9907987609388141,1.0576707313791627
