,nichtlinearitaets_index,semantische_breite,dominanz_breite,var_affektiv,var_motivation,var_regulation,emotion_count,ambivalenz_index,d_semantisch_mean,d_semantisch_std
nichtlinearitaets_index,1.0,0.16001787128399908,0.12037338461509489,0.16703244888648577,0.16548987273828525,0.11401470695839114,0.9820284748068422,0.8657790492942501,0.0021773561564870656,-0.00948534311083938
semantische_breite,0.16001787128399908,1.0,0.1039997783821436,0.8296567699422076,0.9421655159024083,0.857066504715032,0.11107846554921635,0.08828592332672007,-0.33569314224255253,0.17024262293415432
dominanz_breite,0.12037338461509489,0.1039997783821436,1.0,0.10251517534640185,0.042882113727493704,0.03937889562481902,0.021649531158850963,-0.06148640387488876,-0.03445755671194681,0.23235342650635002
var_affektiv,0.16703244888648577,0.8296567699422076,0.10251517534640185,1.0,0.7563168276691136,0.736101195350879,0.13723919506774948,0.06187745075454376,-0.291156450896366,0.1264863867412237
var_motivation,0.16548987273828525,0.9421655159024083,0.042882113727493704,0.7563168276691136,1.0,0.881132744183485,0.12354310527465179,0.10539541747406989,-0.24282359161243064,0.05639166176423733
var_regulation,0.11401470695839114,0.857066504715032,0.03937889562481902,0.736101195350879,0.881132744183485,1.0,0.0778711158880398,0.05302352522054854,-0.20415742665998574,0.056665776193088484
emotion_count,0.9820284748068422,0.11107846554921635,0.021649531158850963,0.13723919506774948,0.12354310527465179,0.0778711158880398,1.0,0.7939998070836184,-0.009933327238085871,-0.013767056968653013
ambivalenz_index,0.8657790492942501,0.08828592332672007,-0.06148640387488876,0.06187745075454376,0.10539541747406989,0.05302352522054854,0.7939998070836184,1.0,0.1023314730243143,-0.12257892256962095
d_semantisch_mean,0.0021773561564870656,-0.33569314224255253,-0.03445755671194681,-0.291156450896366,-0.24282359161243064,-0.20415742665998574,-0.009933327238085871,0.1023314730243143,1.0,-0.43753634149363657
d_semantisch_std,-0.00948534311083938,0.17024262293415432,0.23235342650635002,0.1264863867412237,0.05639166176423733,0.056665776193088484,-0.013767056968653013,-0.12257892256962095,-0.43753634149363657,1.0
