teilnehmer_feedback_id,teilnehmer_ue_id,teilnehmer_id,gruppe_id,erfasst_am,teilnehmer_datum,mitarbeit,absprachen,selbststaendigkeit,konzentration,fleiss,lernfortschritt,beherrscht_thema,transferdenken,basiswissen,vorbereitet,themenauswahl,materialien,methodenvielfalt,individualisierung,aufforderung,zielgruppen,emotions,bemerkungen,id_mtr_rueckkopplung_datenmaske,lehrkraft_id,datum,satzanzahl,mean_kognition,mean_sozial,mean_affektiv,mean_motivation,mean_methodik,mean_performanz,mean_regulation,var_kognition,var_sozial,var_affektiv,var_motivation,var_methodik,var_performanz,var_regulation,d_semantisch_mean,d_semantisch_std,semantische_breite,dominanz_breite,sdlg_id,sdlg_type,sdlg_ue_id,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,h_kognition,h_sozial,h_affektiv,h_motivation,h_methodik,h_performanz,h_regulation,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,sdlg_created_at,emotion_count,ambivalenz_index,emotion_polaritaet,nichtlinearitaets_index
196,62,5,4,2025-11-11T17:10:00,2025-11-11,1,2,6,1,1,3,5,5,4,1,3,3,3,3,2,3,"17,5,3,28,22,27,1,15,6,10,23,18,4,9,21,19,8,14,13,7,16,26,25,12,24,2,11,20",,1334,1,2025-11-11,5,0.46222920880226204,0.1691751486132176,0.2233444236471756,0.41038759024275995,0.387342514876538,0.44617891259032805,0.407583840869548,0.0011090939522133778,0.009877001310890313,0.008282169483195812,0.0008019069298411972,0.0013336423620511884,0.0016010433106121863,0.0011784999247089374,3.74475982604926,0.4917978956160127,0.15550999091220155,3,400,1,0,0.39893700296667,0.29825689510604,0.35157772892986,0.39627712466878,0.39581482548942,0.39702006818307,0.39617164802532,2.3832381271068,1.7817780722351,2.1003151926152,2.3673480910213,2.3645863290835,2.3717864141058,2.3667179766014,5,3,5,5,5,5,5,43,7,kognition,0.39893700296667,1,5.9739611016627,2026-03-31T03:42:35,28,10,1,41.165772567249945
207,65,9,7,2025-11-13T15:35:00,2025-11-13,2,2,1,2,2,2,2,1,4,3,2,2,3,1,2,1,"5,3,28,22,27,1,15,6,10,23,18,4,9,21,19,8,14,13,7,16,26,25,12,24,2,11,20",,1413,1,2025-11-13,4,0.45719956172854254,0.14978199765466851,0.200068743435395,0.391098397948875,0.3687616556030175,0.49841030417511,0.362317445371745,0.01606304393883143,0.014977138130670442,0.004971211064098856,0.011351165814352764,0.011749441883885279,0.0002352831994748132,0.0005233482425099925,3.5749540023507995,0.7992595861632551,0.244684761016749,3,441,1,0,0.42870902893163,0.21628376036999,0.27654033045146,0.41079357262826,0.41855433151211,0.42521866873819,0.41012432529379,2.5345142625732,1.2786627722462,1.6348977147801,2.4285986497518,2.4744800115895,2.5138793631548,2.4246420806106,5,2,5,5,5,5,5,40,7,kognition,0.42870902893163,1,5.9119584716914,2026-03-31T03:42:35,27,9,1,39.261530486137715
208,65,10,7,2025-11-13T15:35:00,2025-11-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"5,3,28,22,27,1,15,6,10,23,18,21,8,14,13,7,16,26,25,2,11,20",,1101,1,2025-11-13,3,0.43533612921247333,0.23341178991175668,0.2091102049912437,0.40452003251193,0.3901526188691533,0.45451255365346,0.37434332207789667,0.005423888931746327,0.0015317276481112852,0.026473629932655906,0.005238126649755187,0.0022212355759482745,0.004275943702593189,0.004534486770960424,3.8757003118551663,0.14045683930275657,0.22293281322355982,3,296,1,0,0.42490427085682,0.26458338378474,0.35861107684671,0.38797908193589,0.40532857368807,0.40825511439878,0.37330347030679,2.5373822288845,1.5800010075675,2.1415020650112,2.316877695058,2.4204828952679,2.4379591902849,2.2292399876972,4,3,4,4,4,4,4,32,7,kognition,0.42490427085682,1,5.9716462127461,2026-03-31T03:42:35,22,7,1,32.25917905657693
143,47,10,5,2025-10-29T15:35:00,2025-10-29,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,"5,3,28,22,27,1,6,10,23,18,4,9,19,8,14,13,7,26,25,12,24,2,20",,653,1,2025-10-29,4,0.48797262190007495,0.16623915356101335,0.24108543513399322,0.39142222453863496,0.346941925398845,0.45699099021613254,0.3106045580000625,0.01427965960304766,0.023843337901757987,0.013219389773325802,0.011443528206348176,0.011390324494171933,0.007668967227648695,0.015377065277688912,3.0141627722766247,0.441998737682727,0.3118048628292849,2,161,1,0,0.4415564984479,0.21485207312967,0.28626127860674,0.4048247119722,0.40520372342312,0.42955845692095,0.4053688134505,2.5391447843191,1.2354942635992,1.6461287175747,2.3279207974084,2.3301002805599,2.4701507491904,2.3310496210937,4,2,4,4,4,4,4,38,7,kognition,0.4415564984479,1,5.7504314344355,2026-03-31T03:42:34,23,6,1,31.35184484608665
249,77,10,7,2025-11-27T15:35:00,2025-11-27,2,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,"28,22,27,1,15,6,10,23,18,4,8,14,13,7,16,26,25,2,11,20",,1098,1,2025-11-27,4,0.3834202741566825,0.1935387715740465,0.21873064337369777,0.448971283442155,0.328602645968995,0.46727547555698,0.41143120468215,0.007115766281384422,0.023692132504447825,0.019352962165857225,0.003391182436463894,0.00993922356217787,0.004797960136432833,0.0022168970224515938,3.72062889248405,0.5507403033754452,0.26552989306143227,3,293,1,0,0.38414017855163,0.33805873353437,0.34678351313403,0.40719410496742,0.36976470059709,0.40111072515595,0.39302375661106,2.2927575510472,2.0177184196945,2.0697926504708,2.4303559248241,2.2069568786092,2.3940470048584,2.3457795774149,4,2,3,4,4,4,4,28,7,motivation,0.40719410496742,1,5.9685339822822,2026-03-31T03:42:35,20,6,1,29.290490934686204
97,32,9,7,2025-10-02T15:35:00,2025-10-02,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,"5,28,22,15,6,10,23,4,9,21,19,8,14,13,7,16,26,25,12,24",,546,1,2025-10-02,5,0.551663245119598,0.0822391971862262,0.16822387956385,0.301096519925078,0.44317393906332797,0.43321939938274595,0.367676514627172,0.011594595699001228,0.00642201851778325,0.004834375368868184,0.014207175945611019,0.0038310089038311192,0.00293916900123817,0.0068425698022882495,3.0926339246984402,0.7465960144129499,0.22510200629630384,2,143,1,0,0.42387402701826,0.1613794805635,0.30143276532769,0.40845167899701,0.42271469559162,0.42341968153346,0.4226317517264,2.4584946091106,0.93601060149255,1.7483279968354,2.369044071797,2.4517704177686,2.455859378231,2.4512893384089,5,2,5,5,5,5,5,33,7,kognition,0.42387402701826,1,5.8000495752583,2026-03-31T03:42:34,20,7,1,29.25098612741307
199,63,10,5,2025-11-12T15:35:00,2025-11-12,2,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,"28,22,27,1,15,6,10,23,18,14,13,16,26,25,24,2,20",,1102,1,2025-11-12,5,0.478446835355102,0.045891685060679,0.1261971506853778,0.361567096657156,0.451735090759444,0.46010768805496394,0.42250160831634603,0.010198870169115332,0.00035539733616035153,0.0029676786286589657,0.005590227291514843,0.001701254162733012,0.001347058326875867,0.005889595461051769,4.32363683118478,0.6043193381715657,0.16748158518508877,4,297,1,0,0.43101023698039,0.0,0.2685502234644,0.42969102096424,0.43010724082177,0.43232201379677,0.43078827389845,2.4767486025672,0.0,1.5431916312346,2.4691678860455,2.4715596435075,2.4842865706201,2.475473118354,5,0,4,5,5,5,5,45,6,performanz,0.43232201379677,1,5.7463699930114,2026-03-31T03:42:35,17,7,1,28.181929086566313
121,41,16,7,2025-10-23T15:35:00,2025-10-23,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,"28,22,27,1,15,6,10,23,18,4,14,13,16,26,25,2,11,20",,78,1,2025-10-23,4,0.4178996895939425,0.17262273650384824,0.2311231299095105,0.42378263843126995,0.3357317977836242,0.4568073638895825,0.4028901309495875,0.018306379000088534,0.011142304597562226,0.007000926416866358,0.0141320418597611,0.022785194694688312,0.002203771100511984,0.0032653228187702167,3.4752413475743,1.0409596787354325,0.28077738599867463,3,20,1,0,0.41684985233563,0.20736362813269,0.28132027017648,0.40859216865251,0.4274464859803,0.41546520656485,0.4264066590136,2.454550083596,1.2210257672301,1.6565069864123,2.405926105295,2.516946574449,2.4463968303961,2.510823728648,4,3,4,4,4,4,4,43,7,methodik,0.4274464859803,1,5.888321421597,2026-03-31T03:42:34,18,6,1,27.305175677094073
168,107,10,0,2025-11-06T15:35:00,2025-11-06,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,"5,3,28,22,27,1,6,10,23,18,8,14,13,16,26,25,2,11,20",,650,1,2025-11-06,5,0.375087193362424,0.049583844802211605,0.1022968405553244,0.223447068620818,0.28317161871543595,0.239349681201002,0.149232066746632,0.08483855191636389,0.025495896745897962,0.054839955161218826,0.08962256689370103,0.07362798918190921,0.1600108230874981,0.14827142946523453,3.395294407617,0.3279418846507397,0.7979393538683398,2,158,1,0,0.4203804582296,0.10475536950786,0.25246070648679,0.41263193809134,0.41884022888482,0.43154055802919,0.4654537379475,2.4121517874781,0.60108848272941,1.4486247695355,2.3676906182303,2.4033139195554,2.4761886715744,2.6707832012619,5,2,4,5,5,5,5,39,7,regulation,0.4654537379475,1,5.7380107387296,2026-03-31T03:42:34,19,5,1,27.090673305388496
68,23,9,7,2025-09-25T15:35:00,2025-09-25,3,1,2,5,2,0,1,2,1,3,0,0,2,2,1,2,"17,5,3,28,22,15,23,18,19,8,16,26,25,12,24,11,20",,549,1,2025-09-25,2,0.48638546275777,0.23905687899578,0.1128433897243125,0.365983760689305,0.416430705657565,0.431856982291515,0.421159631266605,0.00021797450552036383,0.015647440119145282,0.0042778316182786255,0.0005831030910576751,0.0011170902251400273,8.594713451739337e-06,0.00045617329336835943,4.33252055006895,0.08908413799175019,0.14935932366599036,1,145,1,0,0.42930489416242,0.26080318614491,0.21471155957381,0.39852843289668,0.42698599897979,0.42213575451455,0.42688868794763,2.4888364519809,1.511970828417,1.2447609225876,2.3104141239276,2.4753929740767,2.4472743446592,2.474828826667,4,2,4,4,4,4,4,29,7,kognition,0.42930489416242,1,5.7973533327351,2026-03-31T03:42:34,17,8,-1,26.154676431668694
