teilnehmer_feedback_id,teilnehmer_ue_id,teilnehmer_id,gruppe_id,erfasst_am,teilnehmer_datum,mitarbeit,absprachen,selbststaendigkeit,konzentration,fleiss,lernfortschritt,beherrscht_thema,transferdenken,basiswissen,vorbereitet,themenauswahl,materialien,methodenvielfalt,individualisierung,aufforderung,zielgruppen,emotions,bemerkungen,id_mtr_rueckkopplung_datenmaske,datum,satzanzahl,mean_kognition,mean_sozial,mean_affektiv,mean_motivation,mean_methodik,mean_performanz,mean_regulation,var_kognition,var_sozial,var_affektiv,var_motivation,var_methodik,var_performanz,var_regulation,d_semantisch_mean,d_semantisch_std,semantische_breite,dominanz_breite,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,token_anzahl,funktionsklassen_anzahl_gesamt,tn_belastung_mean,tn_belastung_std,tn_state_norm,teilnehmer_drift,emotion_count,emotion_valenz_mean,emotion_valenz_std,emotion_aktivierung_mean,emotion_ambivalenz,lehrkraft_varianz_mean,lehrkraft_varianz_max,semantische_instabilitaet,uebergangsindex,uebergangsphase_flag
32,10,2,1,2025-09-15 15:35:00,2025-09-15,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,"22,25,12,24,11,20",,753,2025-09-15,5,0.47606136982091796,0.1498276124776462,0.14873211664524402,0.39036826828369203,0.42290617170242406,0.44786727328181997,0.39245049968271195,0.006558720758502464,0.01638921730440787,0.011439704771001646,0.0032214832615711834,0.0015491157662040058,0.0002903344543726296,0.003502203633879812,3.78100172755832,0.9263406240760047,0.20724569947272636,3.0,0.41434759234457,0.25073390684332,0.2953313310046,0.41005508838345,0.41435791097519,0.41370722454301,0.40894168077465,methodik,0.41435791097519,1.0,5.9421199514541,52,7,2.5,0.816496580927726,6.782329983125268,,6.0,-0.12499999999999999,0.658223619549871,0.5083333333333333,0.3333333333333333,0.006135825707134231,0.01638921730440787,1.377862107849577,0.47924457954861105,True
38,12,2,5,2025-09-17 15:35:00,2025-09-17,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,"3,28,1,23,4,8,13",,752,2025-09-17,3,0.4597178677217033,0.15274181229601833,0.24659535915584666,0.3960129429480967,0.39080456373074335,0.48946157472243,0.3601760706222434,0.0058790173944145456,0.008666226620450414,0.0023921837142544676,0.0030208723377932625,0.002073206660192785,0.00024516282923592775,0.003384276783779795,3.8265341671335,0.4597326557927635,0.16019034409140018,2.0,0.40282849305269,0.23023296799141,0.32690292180837,0.4169541290675,0.40201624461803,0.41378722817064,0.4137213876878,motivation,0.4169541290675,1.0,5.8791610443023,33,7,1.4375,0.51234753829798,2.6457513110645907,5.916079783099616,7.0,0.8171428571428571,0.10291664945330216,0.5642857142857143,0.0,0.0036658494771601704,0.008666226620450414,0.8733076666280546,-0.1482351266685335,False
51,17,2,1,2025-09-22 15:35:00,2025-09-22,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,"3,28,1,23,4,8,13,2",,751,2025-09-22,5,0.542894483891774,0.08104951881704839,0.16023334433337202,0.329272657265898,0.419586832882788,0.489553102612916,0.340286657580886,0.0035726484512513313,0.010637645014051744,0.0005016280514621938,0.0013165180510398163,0.005248055826936271,0.007184854486416538,0.004623926306205542,3.6104835920823,0.5677926837009476,0.18189358478891837,2.0,0.43266463240139,0.13416774119697,0.27449163831336,0.41266492919998,0.43170039887983,0.43433546890076,0.41730841191583,performanz,0.43433546890076,1.0,5.7385340594605,43,7,1.875,0.6191391873668903,4.242640687119285,3.872983346207417,8.0,0.8025,0.10377258790258631,0.53125,0.0,0.004726468026766205,0.010637645014051744,0.916562089496622,-0.27677268613714034,False
79,26,2,1,2025-09-29 15:35:00,2025-09-29,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,"9,24",,748,2025-09-29,5,0.4912463275445139,0.12397744852440817,0.12492585918703758,0.354637022276046,0.393465244847622,0.434966157547976,0.414757945638372,0.02160172516122951,0.021151136144372622,0.008951654763849697,0.007106508712814047,0.00862178926618489,0.0017514529031163635,0.01670713546211566,3.3360192703706,0.9306520609564388,0.29307235013505245,3.0,0.44268823674278,0.1282568031468,0.1841419263421,0.42246640009593,0.4425133401751,0.44170941723204,0.42925792817169,kognition,0.44268823674278,1.0,5.5946308080497,38,7,2.125,0.7187952884282609,5.291502622129181,3.7416573867739413,2.0,0.17500000000000002,0.625,0.75,0.5,0.012270200344811827,0.02160172516122951,1.407908137030497,0.7996555310215763,True
92,30,2,5,2025-10-01 15:35:00,2025-10-01,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,"23,4,9,8,2",,747,2025-10-01,3,0.4883442361471733,0.047151180589166765,0.20602516880496,0.3335598015940133,0.43166810625943336,0.5096440686652967,0.3803585308188901,0.001224864222531882,0.0015503093149039158,0.003501037442529899,0.002024861043014475,0.002199323775583873,0.00018777267951832185,0.004147557540145176,3.734354579867933,0.3193295862138917,0.1218019951323768,2.0,0.44923345541271,0.045599996588917,0.28479639868479,0.39201358515164,0.4408606009954,0.4427048999786,0.41349378894032,kognition,0.44923345541271,1.0,5.7277974011613,38,7,1.6875,0.47871355387816905,3.3166247903554,4.123105625617661,5.0,0.784,0.05314132102234569,0.57,0.0,0.002119389431175363,0.004147557540145176,0.8137105271154228,-0.5085227757714257,False
106,35,2,1,2025-10-20 15:35:00,2025-10-20,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,"22,9,8,14,2",,745,2025-10-20,5,0.5384374393450281,0.09610209292648679,0.16104005981875397,0.309330638541182,0.4447010958787,0.457775924599206,0.38837246569209605,0.003397116981386756,0.0035244768503794634,0.004254096195951113,0.003526871383596493,0.0008684595996462684,0.0007106760951170022,0.004792123810357972,3.8347415388341397,0.4932946918804349,0.1451682503732654,2.0,0.43039890107301,0.17947355550609,0.28094108767791,0.40230486004681,0.42776518208003,0.42747914006876,0.41957602319795,kognition,0.43039890107301,1.0,5.8338997731266,39,7,1.6875,0.47871355387816905,3.3166247903554,2.0,5.0,0.47400000000000003,0.5884759978112956,0.39999999999999997,0.2,0.0030105458452050096,0.004792123810357972,0.8794876474179002,-0.33458085721642217,False
141,47,2,5,2025-10-29 15:35:00,2025-10-29,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,"23,13,2",,741,2025-10-29,4,0.52334879898547,0.06460065612407276,0.11696267790113327,0.328541512694725,0.43836217269891753,0.4388249201867675,0.44452890347993246,0.002239958841209012,0.0029111184244011716,0.000787858860506706,0.0006520119339690015,0.005544526856022697,0.0032259928698810726,0.002610225937095711,3.1276226386606503,0.6262334148413419,0.1340585458786025,4.0,0.45662217365056,0.064978471036831,0.18615887732918,0.40870249613518,0.43869246090181,0.44499442243806,0.44170860122713,kognition,0.45662217365056,1.0,5.6637408345364,27,7,1.625,0.5,3.1622776601683795,2.23606797749979,3.0,0.7766666666666667,0.0758653778449403,0.5166666666666667,0.0,0.0025673848175836247,0.005544526856022697,1.586763986906648,-0.4897447747894728,False
155,51,2,1,2025-11-03 15:35:00,2025-11-03,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,"23,8,13",,740,2025-11-03,4,0.471535411487215,0.1818770369318835,0.2390492414943925,0.37987456879169496,0.396155276287765,0.427814968295885,0.39140091110346,0.006511991120019777,0.016362432397152793,0.008715100811481203,0.004865846434572062,0.005234897377409823,0.0019257076425015962,0.006344622116215787,3.535186847402325,0.7231806035644932,0.2235186746098702,2.0,0.41001167915663,0.27090537473584,0.32949833554102,0.39816106323653,0.4077158463438,0.41073563351384,0.39555026737138,performanz,0.41073563351384,1.0,6.0069344107478,39,7,1.875,0.7187952884282609,4.47213595499958,3.7416573867739413,3.0,0.8166666666666665,0.053124591501697425,0.5833333333333334,0.0,0.007137228271336149,0.016362432397152793,0.9822330927247878,-0.11902873706662842,False
186,59,2,1,2025-11-10 15:35:00,2025-11-10,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,"5,1,13,2",,1148,2025-11-10,4,0.4904148817314425,0.04353983518251475,0.15396448757075876,0.3607956538725025,0.43410008365609004,0.4849928341360875,0.4051158209921675,0.0029582001074297494,0.00036818344340188293,0.003721115434202759,0.0032062300261317244,0.00022003947004402041,0.0017140238725468656,0.0037464717029783694,4.1649784045348754,0.6722100673483464,0.12623099483381794,3.0,0.43543892011333,0.0,0.2118351210916,0.43444325721882,0.43712620656033,0.43681616801048,0.44145973558406,regulation,0.44145973558406,1.0,5.7120828123164,39,6,1.9375,0.6800735254367721,4.58257569495584,2.6457513110645907,4.0,0.8200000000000001,0.07874007874011812,0.4875,0.0,0.0022763234366764812,0.0037464717029783694,1.2661470207273882,-0.41932989532307774,False
198,63,2,5,2025-11-12 15:35:00,2025-11-12,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5,,1147,2025-11-12,4,0.4345023436586475,0.17966133246075675,0.17178318294297024,0.436086994551705,0.3989213530969675,0.4342034921567025,0.42832633224393746,0.0012744347031638033,0.009138756527776373,0.00945432484226185,0.0026990971932276796,0.0035223482288563633,0.0013162756898186653,0.000703463447891642,3.9345957276703,0.3562945605365266,0.1676564959463139,4.0,0.41365879297997,0.31041759588385,0.24873298126281,0.4067259569733,0.41045530394932,0.4138228177626,0.4068254727819,performanz,0.4138228177626,1.0,5.9298343064268,31,7,1.9375,0.7719024117939607,4.795831523312719,4.242640687119285,1.0,0.8,0.0,0.4,0.0,0.004015528661856625,0.00945432484226185,1.50798368549428,-0.406541735485316,False
