driver,target,n,pearson_r,spearman_r
dominanz_breite,semantische_instabilitaet,282,0.9222336784095095,0.9093201645128463
semantische_breite,uebergangsindex,282,0.802189702765141,0.6119792614255997
lehrkraft_varianz_mean,uebergangsindex,282,0.7799655564167706,0.6119792614255997
var_methodik,uebergangsindex,282,0.7582306587198646,0.5414988216966855
var_motivation,uebergangsindex,282,0.7511756888348251,0.5710859123672429
var_kognition,uebergangsindex,282,0.7492726996203575,0.5680406231209479
lehrkraft_varianz_max,uebergangsindex,282,0.7443864064140683,0.5941393566316745
var_performanz,uebergangsindex,282,0.6886679293945813,0.3362658043612022
var_regulation,uebergangsindex,282,0.6661788387533045,0.3872469750451349
var_affektiv,uebergangsindex,282,0.6557095282505275,0.4410973850435351
d_semantisch_std,semantische_instabilitaet,282,0.5317775172048655,0.5353747126141551
d_semantisch_std,uebergangsindex,282,0.4045038936732058,0.5069079531765229
var_methodik,semantische_instabilitaet,282,0.37188730572147727,0.5422096329407522
semantische_breite,semantische_instabilitaet,282,0.3486473286989562,0.4349811682507169
var_kognition,semantische_instabilitaet,282,0.3095265348109631,0.3950011919506011
var_affektiv,semantische_instabilitaet,282,0.2982554392209335,0.28522561845647887
lehrkraft_varianz_mean,semantische_instabilitaet,282,0.287153902366832,0.4349811682507169
var_sozial,semantische_instabilitaet,282,0.2862009368239581,0.29952474481421226
var_sozial,uebergangsindex,282,0.2813482452749026,0.38035266707654164
var_motivation,semantische_instabilitaet,282,0.25123287682173634,0.35041501552746424
lehrkraft_varianz_max,semantische_instabilitaet,282,0.24489080816291106,0.365041627302866
var_regulation,semantische_instabilitaet,282,0.23047464976362217,0.20979802122822555
var_performanz,semantische_instabilitaet,282,0.1921042438064369,0.2495874994749264
var_kognition,emotion_valenz_std,271,0.1444045480188855,0.11474618033032959
var_kognition,emotion_ambivalenz,282,0.14209571070390156,0.12790768794809573
lehrkraft_varianz_max,emotion_valenz_std,271,0.1283004733147841,0.050062312026599824
var_motivation,emotion_valenz_std,271,0.1275261554145008,0.16049047224036883
var_kognition,tn_belastung_mean,282,0.12599800981842213,0.10950214503464899
lehrkraft_varianz_mean,emotion_valenz_std,271,0.12586217895452614,0.05630256325791911
semantische_breite,emotion_valenz_std,271,0.12411374504649292,0.05630256325791911
lehrkraft_varianz_max,emotion_ambivalenz,282,0.12181950410924214,0.08326155280582608
var_methodik,emotion_valenz_std,271,0.11460245037903664,0.042782424714214076
lehrkraft_varianz_mean,emotion_ambivalenz,282,0.11317392982566592,0.06532500136796432
var_motivation,emotion_ambivalenz,282,0.11217879024187698,0.14514394757552568
var_performanz,emotion_valenz_std,271,0.11087281480286955,-0.027250578179920854
dominanz_breite,uebergangsindex,282,0.10845477674336104,0.11095755352519615
semantische_breite,emotion_ambivalenz,282,0.10771925166708293,0.06532500136796432
lehrkraft_varianz_max,tn_belastung_mean,282,0.10457572424503732,0.042526366217141905
var_methodik,emotion_ambivalenz,282,0.10320376844655157,0.052214001876698696
var_performanz,emotion_ambivalenz,282,0.10236413338024321,-0.04443115778101242
var_regulation,emotion_valenz_std,271,0.10103940794755889,0.014487036620270637
var_motivation,tn_belastung_mean,282,0.09674687449201215,0.1391191185351111
lehrkraft_varianz_mean,tn_belastung_mean,282,0.09308720350561098,0.056845045020359974
var_regulation,emotion_ambivalenz,282,0.09273407484803597,-0.011823754869147775
var_performanz,tn_belastung_mean,282,0.08759403476988827,0.047858133992556805
var_methodik,tn_belastung_mean,282,0.0860009729391824,0.04114065305887114
var_sozial,teilnehmer_drift,255,-0.08591372166323603,-0.04829725751886146
d_semantisch_std,emotion_valenz_std,271,-0.0811954288183351,-0.02573951461361671
semantische_breite,tn_belastung_mean,282,0.08017279940631504,0.056845045020359974
var_regulation,tn_belastung_mean,282,0.07165761979728585,-0.012068803524595202
dominanz_breite,emotion_ambivalenz,282,-0.06376533766978261,-0.052604795150516026
var_methodik,tn_belastung_std,282,0.06334712088255978,0.12510061375290207
