datum,sum,count,anteil
2025-09-08,3,4,0.75
2025-09-09,1,3,0.3333333333333333
2025-09-10,1,5,0.2
2025-09-11,4,6,0.6666666666666666
2025-09-15,2,5,0.4
2025-09-17,4,4,1.0
2025-09-18,3,3,1.0
2025-09-19,2,5,0.4
2025-09-22,4,6,0.6666666666666666
2025-09-23,0,1,0.0
2025-09-24,5,7,0.7142857142857143
2025-09-25,5,6,0.8333333333333334
2025-09-26,2,3,0.6666666666666666
2025-09-29,2,5,0.4
2025-09-30,2,6,0.3333333333333333
2025-10-01,5,7,0.7142857142857143
2025-10-02,4,5,0.8
2025-10-07,1,2,0.5
2025-10-20,1,5,0.2
2025-10-21,3,4,0.75
2025-10-22,2,4,0.5
2025-10-23,2,6,0.3333333333333333
2025-10-24,1,3,0.3333333333333333
2025-10-27,3,5,0.6
2025-10-28,2,2,1.0
2025-10-29,4,7,0.5714285714285714
2025-10-30,3,4,0.75
2025-11-03,3,7,0.42857142857142855
2025-11-04,1,4,0.25
2025-11-06,5,9,0.5555555555555556
2025-11-07,0,3,0.0
2025-11-10,2,6,0.3333333333333333
2025-11-11,3,4,0.75
2025-11-12,5,7,0.7142857142857143
2025-11-13,4,7,0.5714285714285714
2025-11-14,1,4,0.25
2025-11-17,2,5,0.4
2025-11-24,2,7,0.2857142857142857
2025-11-25,3,5,0.6
2025-11-26,5,9,0.5555555555555556
2025-11-27,3,6,0.5
2025-11-28,1,5,0.2
2025-12-02,4,4,1.0
2025-12-03,2,6,0.3333333333333333
2025-12-04,6,7,0.8571428571428571
2025-12-05,0,1,0.0
2025-12-08,5,7,0.7142857142857143
2025-12-09,3,4,0.75
2025-12-10,5,9,0.5555555555555556
2025-12-11,4,5,0.8
2026-01-12,1,1,1.0
2026-01-15,3,3,1.0
2026-01-16,2,4,0.5
2026-01-19,1,2,0.5
2026-01-21,2,3,0.6666666666666666
2026-01-29,2,4,0.5
