id,teilnehmer_id,zeitpunkt,x_kognition,y_sozial,z_affektiv,h_bedeutung,dh_dt,cluster_id,stabilitaet_score,transitions_marker,bemerkung
1,21,2025-09-08 17:10:00,2.2,1.0,2.0,1.72727,0.0,2,0.724444,⚖️ Homöostatisch,K:2.20 S:1.00 A:2.00 h:1.73 Δh:0.00
2,12,2025-09-08 17:10:00,1.0,1.0,1.0,1.0,0.0,1,1.0,⚖️ Homöostatisch (resilient),K:1.00 S:1.00 A:1.00 h:1.00 Δh:0.00
3,20,2025-09-08 17:10:00,1.8,1.5,1.5,1.63636,0.0,2,0.98,⚖️ Homöostatisch (resilient),K:1.80 S:1.50 A:1.50 h:1.64 Δh:0.00
4,16,2025-09-08 17:10:00,2.4,1.25,1.5,1.81818,0.0,2,0.756111,⚖️ Homöostatisch,K:2.40 S:1.25 A:1.50 h:1.82 Δh:0.00
5,3,2025-09-09 15:35:00,1.6,1.0,1.0,1.27273,0.0,1,0.92,⚖️ Homöostatisch (resilient),K:1.60 S:1.00 A:1.00 h:1.27 Δh:0.00
6,9,2025-09-09 17:10:00,1.8,2.0,4.0,2.27273,0.0,3,0.0133333,⚖️ Homöostatisch,K:1.80 S:2.00 A:4.00 h:2.27 Δh:0.00
7,16,2025-09-09 17:10:00,2.8,2.0,2.0,2.36364,0.545455,3,0.857778,⚡ Perturbativ,K:2.80 S:2.00 A:2.00 h:2.36 Δh:0.55
8,8,2025-09-09 17:10:00,2.8,2.5,3.0,2.72727,0.0,3,0.957778,⚖️ Homöostatisch (resilient),K:2.80 S:2.50 A:3.00 h:2.73 Δh:0.00
9,5,2025-09-09 17:10:00,2.2,2.0,2.5,2.2,0.0,3,0.957778,⚖️ Homöostatisch (resilient),K:2.20 S:2.00 A:2.50 h:2.20 Δh:0.00
10,11,2025-09-10 15:35:00,1.8,1.75,1.5,1.72727,0.0,2,0.982778,⚖️ Homöostatisch (resilient),K:1.80 S:1.75 A:1.50 h:1.73 Δh:0.00
11,6,2025-09-10 15:35:00,2.0,2.25,2.0,2.09091,0.0,2,0.986111,⚖️ Homöostatisch (resilient),K:2.00 S:2.25 A:2.00 h:2.09 Δh:0.00
12,7,2025-09-10 17:10:00,2.6,1.5,2.0,2.09091,0.0,2,0.797778,⚖️ Homöostatisch,K:2.60 S:1.50 A:2.00 h:2.09 Δh:0.00
13,14,2025-09-10 17:10:00,1.6,1.5,1.0,1.45455,0.0,1,0.931111,⚖️ Homöostatisch (resilient),K:1.60 S:1.50 A:1.00 h:1.45 Δh:0.00
14,12,2025-09-10 17:10:00,1.4,1.0,1.0,1.18182,0.181818,1,0.964444,🔄 Koordinativ,K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.18
15,12,2025-09-10 17:10:00,1.4,1.0,1.0,1.18182,0.0,1,0.964444,⚖️ Homöostatisch (resilient),K:1.40 S:1.00 A:1.00 h:1.18 Δh:0.00
16,22,2025-09-10 17:10:00,2.0,1.5,2.5,1.90909,0.0,2,0.833333,⚖️ Homöostatisch (resilient),K:2.00 S:1.50 A:2.50 h:1.91 Δh:0.00
17,13,2025-09-10 17:10:00,2.0,2.25,1.5,2.0,0.0,2,0.902778,⚖️ Homöostatisch (resilient),K:2.00 S:2.25 A:1.50 h:2.00 Δh:0.00
18,9,2025-09-11 15:35:00,2.0,1.75,1.5,1.81818,-0.454545,2,0.958333,🌊 Transformativ,K:2.00 S:1.75 A:1.50 h:1.82 Δh:-0.45
19,15,2025-09-11 15:35:00,3.2,1.5,3.0,2.54545,0.0,3,0.424444,⚖️ Homöostatisch,K:3.20 S:1.50 A:3.00 h:2.55 Δh:0.00
20,10,2025-09-11 15:35:00,1.8,1.0,1.5,1.45455,0.0,1,0.891111,⚖️ Homöostatisch (resilient),K:1.80 S:1.00 A:1.50 h:1.45 Δh:0.00
21,18,2025-09-11 17:10:00,1.2,2.0,1.5,1.54545,0.0,2,0.891111,⚖️ Homöostatisch (resilient),K:1.20 S:2.00 A:1.50 h:1.55 Δh:0.00
22,10,2025-09-11 17:10:00,2.6,2.0,3.0,2.45455,1.0,3,0.831111,💥 Kollapsiv,K:2.60 S:2.00 A:3.00 h:2.45 Δh:1.00
23,16,2025-09-11 17:10:00,2.4,1.0,2.0,1.81818,-0.545455,2,0.653333,⚡ Perturbativ,K:2.40 S:1.00 A:2.00 h:1.82 Δh:-0.55
24,17,2025-09-11 17:10:00,2.4,1.0,1.0,1.63636,0.0,2,0.564444,⚖️ Homöostatisch,K:2.40 S:1.00 A:1.00 h:1.64 Δh:0.00
25,2,2025-09-15 15:35:00,3.0,2.25,2.5,2.63636,0.0,3,0.902778,⚖️ Homöostatisch (resilient),K:3.00 S:2.25 A:2.50 h:2.64 Δh:0.00
